Patch,Release Date,Release Highlights
Patch 9.12,"June 25, 2019","New Champion Qiyana 
Illaoi Buff 
Caitlyn Buff 
Arcade & Battle Boss Skins"
Patch 9.12,"June 11, 2019","Mordekaiser Rework 
Yuumi Nerf 
Caitlyn Buff 
Dark Star Skins"
Patch 9.11,"May 29, 2019","Gragas Buff 
Karthus Nerf 
Little Demon Tristana"
Patch 9.10,"May 12, 2019","New Champion Yuumi 
Riven & Master Yi Nerf 
Brand Buff 
Battle Academia Skins"
Patch 9.9,"April 30, 2019","Aatrox, Tahm Kench & Soraka Adjust 
Conqueror Alistar Skin 
Blitzcrank R - Static field Adjust"
Patch 9.8,"April 16, 2019","Kayle & Zed Nerf 
Invictus Gaming Champion Skins"
Patch 9.7,"April 9, 2019","Kayle & Lissandra Nerf 
Jarvan IV & Ivern New Skins"
Patch 9.6,"March 19, 2019","Zoe & Rek'Sai Nerf 
Urgot & Ornn Buff 
New Epic skins: Cats VS Dogs"
Patch 9.5,"March 6, 2019","Kayle & Morgana Rework 
New skins for Brand and Ahri 
Akali, Skarner, Vi & Rakan Buff"
Patch 9.4,"February 20, 2019","Papercraft Skins 
Urgot Nerf 
Rek'Sai Buff"
Patch 9.3,"February 5, 2019","Aatrox, Akali, and Irelia nerf 
Marksmen Items"
Patch 9.2,"January 25, 2019","Urgot, Ignite, Red Smite nerf 
Shyvana, Yorick, Sunfire Cape buff 
New Season Placements"
Patch 9.1,"January 9, 2019","First Patch of Season 2019 
Kalista, Ornn & Sejuani buff"
Patch 8.24b,"December 18, 2018","Akali and Pyke nerfs 
Balance Changes"
Patch 8.24,"December 5, 2018","Neeko Released 
Rank System Updates 
Updated several skillshot targeting interactions when Flash is used mid-cast 
Animation Updates 
Bug Fixes 
Balance Changes 
If a champion is affected with a debuff when they create a clone, the clone will now also have that debuff 
VFX and SFX Updates 
Removed Poacher's Dirk from the game"
Patch 8.23,"November 20, 2018","Teleport can't be canceled by its caster once cast 
Rank System Updates 
Outer turrets have extra resistances early but grant gold for each 1000 health they lose. 
Monster Hunter Gold Penalty Removed. 
Bug Fixes 
Balance Changes 
Runes Updates 
In-Game Stats Panel Improved 
Jungle Camp Experience Changes"
Patch 7.8,"April 19, 2017","Xayah and Rakan Released 
Howling Abyss 
Twisted Treeline 
Ward Death Audio 
Loot 
Rotating Game Modes 
League Client Update 
Queue Health Update 
Bugfixes"
Patch 7.7,"April 5, 2017","Balance Changes 
Summoner's Rift 
Lifesteal Interactions 
Magic Damage Shield UI 
Rotating Game Modes 
League Client Update 
Highlights Update 
Queue Health Update 
Bugfixes"
